state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
DE,60,area_code_839,yes,no,36,171.5326213,65,48.73303856,260.6345573,53,14.45213018,231.2177134,122,44.04007794,19.31301418,15,8.945420566,7,yes
OH,30,area_code_677,yes,no,37,280.1849126,137,28.06768598,175.2191515,95,22.73376418,224.529231,135,6.94075047,4.801268015,14,1.022057812,4,yes
OH,35,area_code_434,no,yes,48,60.01477976,117,18.08945844,295.3553562,67,19.24710957,127.7432553,75,30.82776903,2.809796643,19,2.177830079,6,no
NC,85,area_code_517,yes,no,0,122.8652284,64,26.12330789,74.34418228,92,23.00698728,74.91598052,61,43.40662999,3.268612199,5,5.712836253,5,no
CA,37,area_code_873,yes,yes,24,101.8852341,138,43.60360026,125.7664403,129,11.77229741,118.116796,120,22.91697251,15.87887485,4,5.070138313,9,yes
TN,5,area_code_394,yes,yes,35,109.5366634,104,18.7206406,209.5561038,82,27.66065335,257.946325,95,18.60726228,7.651991281,13,0.935594175,1,no
RI,83,area_code_854,no,no,16,277.108638,84,13.67043784,137.5017171,142,41.07391654,295.1176994,96,40.80680083,5.262969726,18,0.568898066,2,no
SD,78,area_code_470,yes,no,40,167.0172636,104,10.80820611,282.093138,59,24.86903047,173.4617537,128,20.11039626,7.704038249,12,9.886645449,3,yes
NV,26,area_code_285,no,yes,23,166.5748532,63,18.40367293,66.40652204,122,27.07761092,52.42508873,87,5.142843418,13.26128544,15,6.758929653,4,yes
CT,62,area_code_345,yes,yes,1,240.1439106,98,40.10216392,187.352958,108,43.19454134,85.01120303,70,48.18076644,11.38895537,9,3.971358244,8,no
FL,4,area_code_736,no,yes,39,88.623051,132,26.22318643,197.7165668,80,36.77261516,130.5201438,63,31.64554564,15.12819872,4,4.969106353,5,yes
DE,89,area_code_367,yes,no,14,171.8163385,149,15.23667217,213.1820309,77,27.07044838,194.6463371,51,41.87830634,7.442408821,5,3.032226144,0,yes
ID,42,area_code_742,no,no,31,157.4963035,56,12.47832498,113.9165558,109,16.59630417,68.77341145,121,42.13857031,9.588542896,9,3.776300945,2,no
ND,89,area_code_336,no,no,38,199.2276726,79,19.97282644,141.1416069,52,44.82170361,285.8393247,119,7.988468917,2.93739901,13,6.665922439,6,yes
NC,18,area_code_629,yes,no,5,299.8894258,132,47.29659678,260.9201324,104,30.96591808,141.2709183,82,12.68870897,2.388114275,10,8.886712089,7,yes
WV,40,area_code_651,no,yes,0,242.3622235,98,20.43620207,98.73569224,63,14.95164245,278.1460545,55,19.00043063,9.782849614,16,2.249235219,6,no
MN,72,area_code_120,no,yes,46,149.4664258,138,49.46558342,256.7169618,107,17.11038887,245.1304507,139,19.43146783,6.730335541,13,8.483434301,4,yes
MS,39,area_code_836,no,yes,22,256.8882631,65,26.83537051,190.6638557,138,41.140989,238.8593181,86,34.6453753,12.64321087,4,1.65478798,9,no
OR,14,area_code_966,no,yes,38,92.67709083,100,13.06237632,240.5468778,64,6.986550294,201.6798949,63,33.04098143,1.817041143,13,2.542426124,7,yes
OH,32,area_code_893,no,yes,16,57.61592158,121,45.10130413,228.4018416,51,49.64414842,206.6959543,86,27.25654001,3.313561174,8,0.853165236,8,yes
UT,51,area_code_619,no,yes,33,101.1120931,131,25.71599179,101.8778738,73,10.86582559,209.5008088,57,14.50686795,17.43862541,13,1.83771269,6,no
SC,38,area_code_199,no,no,40,135.102889,141,36.93521046,192.2031841,127,40.82308364,207.1803468,126,22.18925614,11.75992081,15,9.214379882,8,yes
MI,97,area_code_851,no,no,28,177.6451894,129,49.26702124,266.9307882,113,22.76488925,188.4320578,62,29.46172858,14.52903614,13,4.864668093,0,yes
NE,23,area_code_577,yes,yes,8,203.7822851,132,7.257890764,158.0290592,120,27.14972825,296.6035046,89,26.05934147,16.99747026,5,1.237825687,8,yes
OH,63,area_code_698,yes,yes,12,277.6514293,91,9.35125519,291.6476926,149,44.62927599,233.0726419,141,10.72816399,9.812852516,6,9.617404961,2,yes
AL,15,area_code_397,no,no,5,177.4635024,66,37.42055337,163.053775,73,23.58100353,244.2365971,107,34.22797221,15.4601473,5,8.850426924,5,yes
OH,97,area_code_625,no,no,5,175.3189112,112,17.68212515,85.69640917,76,29.18721892,268.1157038,67,8.287329956,10.967126,13,7.669483948,7,yes
OR,25,area_code_433,yes,no,19,62.56075246,94,13.29356286,147.35867,86,7.218484808,103.9099407,106,22.01876074,5.232226635,5,9.367991524,2,no
WA,17,area_code_101,yes,no,2,58.72788816,126,6.771284592,287.9256016,143,5.105636324,70.95103977,132,36.95132065,7.415467207,13,2.591229498,3,yes
IN,97,area_code_474,yes,yes,16,187.7899905,56,5.983102039,129.9302123,140,16.01599429,170.7236091,87,5.901059053,10.31665838,8,8.445508284,6,yes
AZ,66,area_code_392,no,yes,48,159.5446533,76,39.85185214,267.02454,88,35.62623918,178.5201739,81,30.64922686,7.020825491,9,7.054916365,6,no
AL,78,area_code_936,yes,yes,11,259.7950987,59,11.04950423,270.3126704,112,10.4569202,257.295445,135,20.05344384,7.375026136,19,8.762712871,3,no
CA,53,area_code_652,no,yes,47,90.16989618,83,26.04742772,137.5466311,128,10.11928815,160.9458948,115,5.397432954,7.410463794,15,8.070659875,8,no
MT,51,area_code_417,no,yes,46,56.24291553,85,32.26535668,70.81441451,75,23.49322736,192.7132564,126,13.5672472,3.333959598,10,3.7917031,2,yes
IN,39,area_code_601,yes,no,44,162.259692,74,24.27583103,231.1394773,114,34.15266674,181.7677346,136,47.3425787,2.608209537,11,7.856786102,7,no
RI,51,area_code_927,no,yes,0,109.3696392,55,6.219799355,127.8780748,53,37.04323965,59.55069594,74,28.45170075,1.883424754,5,2.993334878,7,no
NE,70,area_code_480,no,no,16,62.40359333,73,40.25756762,245.7309036,78,13.03028033,203.8037241,141,49.87522421,3.10816896,9,3.621625549,3,yes
FL,6,area_code_722,no,yes,2,231.1495717,67,5.473095104,160.6637121,50,8.581466632,257.0108214,107,28.61675377,7.530434751,11,1.525104314,6,no
IA,67,area_code_113,no,yes,25,77.89824999,136,39.28504525,171.3166856,99,47.31786653,89.37513702,124,29.47713855,12.28356431,19,9.383227852,3,yes
IA,7,area_code_603,yes,yes,14,202.079875,55,45.19870222,244.4773517,135,16.72998722,198.5829335,82,22.63293558,4.574791617,2,3.264531952,0,yes
MT,51,area_code_330,yes,yes,35,120.2624375,78,24.47779645,145.5908328,60,43.40059239,198.4026361,137,18.95181884,17.87216807,6,5.445913419,0,yes
TN,72,area_code_183,no,yes,31,93.37401259,74,29.09941129,160.7818363,123,43.85711527,91.04624101,115,16.31954989,16.35926619,1,4.217661946,0,yes
IL,42,area_code_229,no,no,31,144.9378807,104,26.46425267,144.0476172,108,39.76351663,80.86589343,79,20.45392773,10.89001514,3,9.619317146,1,yes
NY,64,area_code_842,yes,no,3,250.3614441,130,22.51438784,141.8351288,111,12.5975123,295.0129857,130,25.69329864,14.75998679,3,3.682967124,5,no
RI,15,area_code_937,no,no,17,148.0233942,95,44.93410409,181.4866442,130,41.98106567,148.4297924,83,13.63963776,7.960241969,14,7.896185304,9,yes
WI,29,area_code_244,yes,yes,48,237.6924123,73,45.22700798,252.1998611,85,39.61627517,106.8554322,135,15.11937913,1.698778062,5,8.626453469,4,no
NY,33,area_code_990,no,yes,18,81.3715742,124,20.11173641,140.442078,105,31.85253455,92.83113611,118,17.21951459,18.1823241,17,4.638261726,1,yes
AR,94,area_code_956,no,no,42,243.1928549,75,32.67813893,181.0636801,139,20.17409158,216.9004284,97,25.21669514,3.428076277,15,4.092632237,7,no
NJ,27,area_code_127,yes,yes,34,109.2333312,147,46.7108403,217.6818314,70,16.81288719,202.3613243,89,34.37660151,19.01080958,6,7.603585299,8,yes
OR,36,area_code_165,yes,yes,39,219.3482825,77,48.29263245,117.3598616,62,10.48501454,210.8880307,100,43.52657676,11.86576918,14,9.172511813,6,yes
MN,29,area_code_262,yes,no,13,191.4453887,52,27.90315682,119.3807012,58,27.93906801,72.00150688,129,17.92093267,6.805698159,14,7.671851464,8,yes
RI,38,area_code_328,yes,yes,32,282.2861793,124,25.37711624,283.3532818,60,31.3367394,273.3836459,62,13.26777532,10.41496784,17,2.657700473,3,no
VT,57,area_code_360,no,no,13,146.8306295,87,17.54124422,230.8836433,124,21.17025457,147.3165992,139,22.04813592,10.53096637,8,8.938923601,6,no
IA,97,area_code_548,yes,yes,33,66.54129721,110,48.14923429,194.2966691,119,26.39115805,128.3423516,80,45.24723844,1.442454509,8,4.182025841,4,no
TX,27,area_code_523,no,no,3,54.78887139,127,11.4266437,211.9300136,50,21.35815058,165.5903618,88,5.443732775,7.753737186,19,5.974179412,4,yes
NH,55,area_code_559,yes,yes,23,256.7146402,100,31.09233092,57.32486078,119,33.84527258,147.5165164,112,35.50408772,15.05745019,9,8.398638383,2,yes
OK,33,area_code_775,yes,yes,28,181.1839094,139,17.71476204,204.5257414,126,45.55666435,265.8942508,97,26.47220209,10.69131459,11,2.28975029,8,no
IL,68,area_code_400,no,no,18,243.811013,97,17.55537307,177.3772183,135,12.37641179,282.3152438,136,12.24707967,5.640372223,13,7.952846289,9,yes
NY,86,area_code_402,yes,yes,5,108.6064,70,23.22358643,186.4374199,105,22.16339645,125.8633041,97,19.44596868,7.367087341,13,6.16354658,4,no
CT,66,area_code_386,yes,yes,32,136.2709364,103,49.94568211,139.8559567,80,11.33908718,265.9839519,110,15.12275197,17.39803347,19,8.986745597,5,yes
MI,10,area_code_494,yes,no,48,57.52596805,105,7.473483808,70.36847443,135,33.12246967,245.3807824,61,44.50244756,10.98544373,19,2.133718818,2,no
NV,5,area_code_109,yes,yes,39,290.3730811,143,31.03438182,98.3348084,86,37.79917293,282.7019181,127,26.68430228,11.03869033,5,4.496481252,9,no
AK,74,area_code_806,no,no,18,216.9669767,108,8.715747112,287.6861783,96,46.93607297,111.437578,105,30.3392425,19.26788172,16,8.412009382,6,yes
TN,97,area_code_729,no,yes,0,283.3012719,121,11.95343735,152.1748906,140,17.54923668,194.2397875,67,31.71594287,7.096746582,9,0.682701183,8,no
VT,38,area_code_369,yes,yes,4,116.3741019,100,24.78033238,166.670789,127,47.75950426,118.6361462,76,33.78277061,10.11128138,3,1.565912984,8,yes
CO,13,area_code_691,yes,yes,26,202.8659028,69,27.97070591,63.17744746,96,7.846820232,256.0236226,77,27.30000607,16.42255836,19,9.910369521,9,yes
NV,31,area_code_704,yes,yes,15,219.6249921,145,16.64565838,59.39155739,118,32.13562385,51.33104764,131,5.804308888,15.41933273,5,3.163744697,9,yes
